 (New),(Mới)
Add Template Step,Thêm bước mẫu
Add Text Block,
Add Trigger,
Add Website,
Add Website Button,
Add a condition,
Add a tag to categorize this blacklist entry,
Add buttons to make your message interactive,
Add candidate field,
Add candidate to segment,Thêm ứng viên vào kho nhân tài
Add column,Thêm cột
Add condition,
Add condition group,
Add conditions to filter which candidates to sync. Leave empty to sync all active candidates.,
Add conditions to filter which positions to sync. Leave empty to sync all active positions.,
Add custom field to talent profile,
Add custom tracking field,
Add emails to prevent them from being contacted,
Add engagement tag,
Add filter,Thêm bộ lọc
Add first candidate,Thêm ứng viên đầu tiên
Add marketing tag to talent,
Add profile to a campaign,Thêm hồ sơ vào một chiến dịch
Add profile to a talent segment,Thêm hồ sơ vào một phân khúc tài năng
Add recruitment tag,
Add steps to define the campaign workflow.,Thêm các bước để xác định quy trình công việc chiến dịch.
Add tag,
Add tag to talent profile,
Add tags to categorize and organize this campaign,
Add tags to categorize and organize this nurturing campaign,
Add tags to categorize and organize this recruitment campaign,
Add to Blacklist,
Add to Campaign,
Add to Segment,Thêm vào kho nhân tài
Add to Talent Pool,
Add tracking field,
Add triggers to automate actions based on candidate behavior,
Added,Đã thêm
Added At,Đã thêm tại
Added By,Được thêm bởi
Added to Pool,
Adding...,Thêm ...
Additional Actions,
Additional Configuration,
Additional Info is required,
Additional Information,Thông tin bổ sung
Additional Instructions,
Additional Resources,
Additional configuration as JSON,
Address,
Ads,Quảng cáo
Advance,
Advanced Actions & Triggers,
Advanced Filters,Bộ lọc nâng cao
Advanced Quality Assessment,
Advanced Settings,
Advertisement Campaign,Chiến dịch quảng cáo
After,
After how many days of no interaction?,
Age,
Alias,
All,Tất cả
All Campaigns,Tất cả các chiến dịch
All Channels,
All Records,
All Sources,Tất cả các nguồn
All Stages,
All Status,Tất cả trạng thái
All Statuses,Tất cả các trạng thái
All Steps,
All Tags,
All Templates,
All Types,Tất cả các loại
All channels added,
All selected tags already exist,
All talents are up to date!,
All tasks,
All time,
All trigger types have been added,
Allow attendees to cancel bookings,
Allow cancellations,
Amazing Position,
An MiraAction with Candidate Campaign <b>{0}</b> and Campaign Step <b>{1}</b> already exists: <a href='/app/mira_action/{2}'>{2}</a>,
An error occurred,Một lỗi đã xảy ra
An error occurred while activating campaign,
An error occurred while copying step,Xảy ra lỗi trong khi sao chép bước
An error occurred while creating campaign,
An error occurred while creating flow,
An error occurred while deleting step,Xảy ra lỗi trong khi xóa bước
An error occurred while deleting template,Xảy ra lỗi trong khi xóa mẫu
An error occurred while deleting the data source,Xảy ra lỗi trong khi xóa nguồn dữ liệu
An error occurred while deleting the talent,
An error occurred while deleting the talents,
An error occurred while duplicating step,Xảy ra lỗi trong khi sao chép bước
An error occurred while finalizing template,
An error occurred while finalizing the campaign,Xảy ra lỗi trong khi hoàn thiện chiến dịch
An error occurred while loading data,Xảy ra lỗi trong khi tải dữ liệu
An error occurred while loading template,Xảy ra lỗi trong khi tải mẫu
An error occurred while loading template details,
An error occurred while loading templates,Xảy ra lỗi trong khi tải mẫu
An error occurred while moving step,Xảy ra lỗi trong khi di chuyển bước
An error occurred while removing talent,
An error occurred while saving,
An error occurred while saving QR Code,
An error occurred while saving draft,
An error occurred while saving job opening.,
An error occurred while saving social posts,
An error occurred while saving step,Xảy ra lỗi trong khi lưu bước
An error occurred while saving template,Xảy ra lỗi trong khi lưu mẫu
An error occurred while saving the flow,
An error occurred while sending email,
An error occurred: ,Đã xảy ra lỗi:
An error occurred: {0},Đã xảy ra lỗi: {0}
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Một tập tin biểu tượng với tiện ích mở rộng .ico. Nên là 16 x 16 px. Được tạo bằng cách sử dụng một máy phát favicon. [Favicon-generator.org]
An image with 1:1 & 2:1 ratio is preferred,Một hình ảnh có tỷ lệ 1: 1 & 2: 1 được ưu tiên
An unexpected error occurred,
An unexpected error occurred.,
Analysis and detailed charts will be implemented here,Phân tích và biểu đồ chi tiết sẽ được thực hiện ở đây
Analytics,Phân tích
Analyzing your job openings file and extracting data,
And,Và
Anyone can see and use this template,
Apple Calendar,
Applicant,Người xin việc
Applicant Information,Thông tin ứng viên
Applicant Pool,Nhóm ứng viên
Application,
Application Date,Ngày nộp đơn
Application Deadline,
Application Details,Chi tiết ứng dụng
Application Position,Vị trí ứng dụng
Application Submitted,
Application Tracking,
Application URL:,
Application deadline,
Applications Count,Đếm ứng dụng
Applied,
Applied Date,
Applied legacy template format. Converted to new format.,
Apply,Áp dụng
Apply Filters,
Apply Tags,
Apply To,Áp dụng cho
Apply for campaign,Áp dụng cho chiến dịch
Apply here:,
Apply now:,
Apply:,
Approval Status,
Approved,
Apps,Ứng dụng
Archived,Lưu trữ
Are you interested in our company? Please leave your information and we will contact you shortly!,Bạn có quan tâm đến công ty của chúng tôi? Vui lòng để lại thông tin của bạn và chúng tôi sẽ liên hệ với bạn trong thời gian ngắn!
Are you sure you want to close? Unsaved changes will be lost.,
Are you sure you want to continue?,
Are you sure you want to delete,Bạn có chắc bạn muốn xóa
"Are you sure you want to delete ""${a.title}""?",
"Are you sure you want to delete ""{0}""? This action cannot be undone and will also delete all associated template steps.","Bạn có chắc bạn muốn xóa ""{0}"" không? Hành động này không thể được hoàn tác và cũng sẽ xóa tất cả các bước mẫu được liên kết."
"Are you sure you want to delete data source ""{0}""?","Bạn có chắc là bạn muốn xóa nguồn dữ liệu ""{0}"" không?"
"Are you sure you want to delete data source ""{0}""? This action cannot be undone!","Bạn có chắc là bạn muốn xóa nguồn dữ liệu ""{0}"" không? Hành động này không thể được hoàn tác!"
"Are you sure you want to delete step ""{0}""? This action cannot be undone. All following steps will be reordered.","Bạn có chắc là bạn muốn xóa bước ""{0}"" không? Hành động này không thể được hoàn tác. Tất cả các bước sau đây sẽ được sắp xếp lại."
Are you sure you want to delete tag,
Are you sure you want to delete this QR code?,
Are you sure you want to delete this application?,Bạn có chắc là bạn muốn xóa ứng dụng này không?
Are you sure you want to delete this attachment?,
Are you sure you want to delete this candidate?,Bạn có chắc là bạn muốn xóa ứng viên này?
Are you sure you want to delete this configuration? This action cannot be undone.,
Are you sure you want to delete this email log? This action cannot be undone.,Bạn có chắc là bạn muốn xóa nhật ký email này? Hành động này không thể được hoàn tác.
Are you sure you want to delete this flow? This action cannot be undone.,
Are you sure you want to delete this import session?,
Are you sure you want to delete this record?,
Are you sure you want to delete this social media post?,
Are you sure you want to delete this step?,Bạn có chắc là bạn muốn xóa bước này?
Are you sure you want to delete this step? This action cannot be undone.,
Are you sure you want to delete this template?,
Are you sure you want to delete this trigger and all its actions?,
Are you sure you want to delete {0} linked item(s)?,Bạn có chắc là bạn muốn xóa (các) mục được liên kết {0} không?
Are you sure you want to disconnect from,
Are you sure you want to login to your Frappe Cloud dashboard?,Bạn có chắc là bạn muốn đăng nhập vào bảng điều khiển Frappe Cloud của mình không?
Are you sure you want to make this attachment {0}?,
Are you sure you want to remove,
Are you sure you want to remove this record from the campaign?,
Are you sure you want to remove this talent from the segment?,
Are you sure you want to unlink {0} linked item(s)?,Bạn có chắc là bạn muốn liên kết {0} mục được liên kết không?
Assessment,
Assessment Completed,
Assign,Giao phó
Assign To,Gán cho
Assign to Campaign,Gán cho chiến dịch
Assignee,Người được giao
Assignment,Phân công
Assignment cleared successfully,Bài tập đã xóa thành công
At least,Ít nhất
At least one field is required,Ít nhất một trường là bắt buộc
Attach,Gắn
Attachment,
Attachments,Đính kèm
Attract,
Attraction,Thu hút
Attraction Campaign,
Auth Method,Phương pháp Auth
Authenticate Facebook,
Authenticate LinkedIn,
Authentication,Xác thực
Authentication LinkedIn fail,
Authentication Method,Phương pháp xác thực
Authentication method is required,Phương pháp xác thực là bắt buộc
Auto,
Auto Map,
Auto Mapping Used,
Auto Reconnect,
Auto Send,
Auto Sync,
Auto advance,
Auto-generated,
Auto-generated if empty,
Auto-import applications,
Auto-post jobs,
Auto-refreshing due to pending connections,
Auto-saved pending data collection configuration,
Auto-sync accounts,
Auto-sync event types,
Auto-track URL clicks from selected Landing Page,
Automatic,
Automatically create contacts for new bookings,
Automatically import job applications from TopCV,
Automatically post new jobs to TopCV,
Automatically send email to candidates upon adding them to the system,
Automatically sync Facebook pages and accounts,
Automatically sync new event types from Cal.com,
Automation,
Automation triggers and flows,
Automations,
Availability,
Availability Date,
Availability Settings,
Avatar URL,Url avatar
Average Response Time (ms),
Avg Score,Điểm AVG
Avg. Response Time,AVG. Thời gian phản hồi
B,
BCC,BCC
Bachelor,
Bachelor's Degree,Bằng cử nhân
Back,Mặt sau
Back to Connections,
Back to List,
Back to Talent Pools,Quay lại nhóm tài năng
Back to Templates,Quay lại các mẫu
Back to Upload,
Back to file upload,Quay lại tải lên tệp
Bangkok (GMT+7),
Basic,Nền tảng
Basic Information,Thông tin cơ bản
Basic information about your campaign template,
Batch Size,
Before,
Benefits,
Best for employer branding and direct applications,
Between,Giữa
Birthday,
Birthday Stats,
Blacklist,
Blacklist updated successfully,
Block Content,
Block Template Content,
Booking Link,
Booking Management,
Booking lead time (hours),
Bookings,
Both,Cả hai
Bounce Rate,
Bounced,
Branding,Thương hiệu
Brief description of campaign purpose...,Mô tả ngắn gọn về mục đích chiến dịch ...
Broadcast messages,
Broadcast to all followers,
Browse and use pre-built campaign templates to automate your workflows,
Browse and use pre-built flow templates to automate your workflows,
Buffer Time (minutes),
Buffer time between bookings,
Build a new landing page from template,
Build advanced filters to find talents matching your criteria,
Builder Page ID,
Builder URL not available,
Bulk Edit,Chỉnh sửa số lượng lớn
Bulk delete request submitted successfully,
Business,
Button,
Button Title,
Button text,
"Button text (e.g., Apply Now, Learn More)",
By,
"By submitting this form, you agree to our terms of use.","Bằng cách gửi biểu mẫu này, bạn đồng ý với các điều khoản sử dụng của chúng tôi."
Bình thường,
Bạn chưa kết nối.,
Bạn có chắc chắn muốn ngắt kết nối Zalo OA? Hành động này không thể hoàn tác.,
Bạn có chắc chắn muốn xóa talent này không?,
Bạn có chắc chắn muốn xóa {0} talent(s) đã chọn không?,
Bản sau,
Bản trước,
Bật chế độ debug,
Bật chế độ debug để ghi log chi tiết,
C,
CALL_COMPLETED,Call_completed
CALL_MISSED,Call_missed
CAMPAIGN,
CANCELLED,Bị hủy bỏ
CC,Cc
CHANGE_STATUS,
CHAT_COMPLETED,Chat_completed
CHAT_MESSAGE_SENT,Chat_message_sent
CHAT_STARTED,Chat_started
COMPLETED,HOÀN THÀNH
CONTENT_AI,
CONTINUE,
CREATE_TASK,
CRM Deal,
CRM Status,
CSS Content,Nội dung CSS
CSV,CSV
"CSV, XLSX files up to 10MB","Các tệp CSV, XLSX lên đến 10MB"
CTA URL,
CUSTOM_EVENT,
CV (PDF),
CV Link,Liên kết CV
Cal.com,
Cal.com Configuration,
Cal.com Instance URL,
Cal.com Integration,
Cal.com URL,
Cal.com Username,
CalDAV,
Calendar Booking,
Calendar Integration,
Calendar Sync,
Call,
Call Completed,
Call Interactions,Gọi tương tác
Call Phone,
Call automatically using AI Call technology,
Call to Action,
Callback URL:,
Camera,Camera
Campaign,
Campaign Execution Flow,Lưu lượng thực hiện chiến dịch
Campaign ID is required,
Campaign Info,
Campaign Information,Thông tin chiến dịch
Campaign Name,Tên chiến dịch
Campaign Objective,
Campaign QR Code,
Campaign Schedule,
Campaign Settings,
Campaign Social,
Campaign Step Name,Tên bước chiến dịch
Campaign Summary,Tóm tắt chiến dịch
Campaign Tags,
Campaign Target Conditions,
Campaign Template,
Campaign Template Library,
Campaign Templates,Mẫu chiến dịch
Campaign Triggers,
Campaign Type,Loại chiến dịch
Campaign Workflow Preview,Xem trước quy trình làm việc chiến dịch
Campaign context not found. Please try again.,
Campaign created from template successfully!,
Campaign created successfully,
Campaign created successfully from template,
Campaign created successfully from template!,
Campaign created successfully!,
Campaign creation has been scheduled. You will be notified when it's done.,Sáng tạo chiến dịch đã được lên kế hoạch. Bạn sẽ được thông báo khi hoàn thành.
Campaign deleted,
Campaign deleted successfully!,
Campaign must be saved first,
Campaign name cannot exceed 200 characters,Tên chiến dịch không thể vượt quá 200 ký tự
Campaign name is invalid or already exists,Tên chiến dịch không hợp lệ hoặc đã tồn tại
Campaign name is required,Tên chiến dịch được yêu cầu
Campaign name is required for update,
Campaign not found,Chiến dịch không tìm thấy
Campaign not found. Please try again.,
Campaign saved as template successfully,
Campaign saved as template successfully!,
Campaign saved successfully,
Campaign saved successfully!,
Campaign settings and configuration,
Campaign starts immediately,
Campaign type is required,Loại chiến dịch là bắt buộc
Campaign will automatically start at the scheduled time,
Campaign will be saved to segment: ,
Campaign will be sent at the specified date and time,
Campaign will be sent immediately after activation,
Campaign will start as soon as you click Continue,
Campaign {0} does not exist,
Campaign {0} not found,
Campaign:,Chiến dịch:
Campaigns,Chiến dịch
Campaigns Created,
Can Retry,
Can only cancel sessions that are pending or in progress,
Cancel,Hủy bỏ
Cancelled,Bị hủy bỏ
Candidate,Ứng viên
Candidate Actions,
Candidate Campaign,Chiến dịch ứng cử viên
Candidate Count,Đếm ứng viên
Candidate Data Source Management,Quản lý nguồn dữ liệu ứng cử viên
Candidate Details,Chi tiết ứng cử viên
Candidate List,Danh sách ứng cử viên
Candidate Management,Quản lý ứng cử viên
Candidate Name,
Candidate Pool Details,Ứng cử viên chi tiết hồ bơi
Candidate Status,Tình trạng ứng cử viên
Candidate applies for position,
Candidate clicks job posting link,
Candidate enters recruitment process,
Candidate opens recruitment email,
Candidate profile updated,
Candidate replies to recruiter,
Candidate responds,
Candidate score threshold reached,
"Candidate status changed (screening, interview, offer)",
Candidate submits application form,
Candidate to Talent,
Candidate to Talent Sync History,
Candidate withdraws application,
Candidates,Ứng cử viên
Cannot Access Settings,
Cannot Disconnect,
Cannot Retry,
Cannot Sync,
Cannot create config: No form configuration ID,
Cannot delete a session that is currently processing,
Cannot delete config: No configuration ID,
Cannot delete segment. Please remove all {0} talent(s) from the pool before deleting the segment.,
Cannot delete standard items {0},Không thể xóa các mục tiêu chuẩn {0}
Cannot modify Administrator account.,
Cannot read CSV file with any supported encoding,
Cannot remove Administrator from ATS.,
Cannot retry an import that is still in progress,
Cannot update config: No configuration ID,
Cao,
Capture,Chiếm lấy
Card,Thẻ
Career Page,
Casual,
Certifications,
Change,Thay đổi
Change Image,
Change Password,Thay đổi mật khẩu
Change Resume,
Change Status,
Change nurturing status,
Change recruitment status,
Change talent status,
"Change talent status (Active, Paused, Completed, Cancelled)",
Change to,
Channel,
Channel Performance Tips,
Channel Selection,
Channel Type,
Channel is required,
Channel is set when creating the message,
Channels:,
Chatbot,
Check if this ATS runs on the same site (no need to enter API Base URL),
Chi tiết hành động,
Chi tiết quyền hạn được cấp,
Chiến dịch,
"Chiều đồng bộ dữ liệu: Pull (lấy về), Push (gửi đi), Both (cả hai)","Chiều Đồng bộ dữ liệu: pull (lấy về), push"
Cho phép broadcast đến followers,
Cho phép gửi tin broadcast đến followers,
Choose Candidates (Segment),
Choose Image,
Choose Interaction Method,
Choose Landing Page,
Choose Landing Page Template,
Choose Page/Profile,
Choose Template,
Choose Template Type,
Choose a Facebook page...,
Choose a Zalo Official Account...,
Choose a talent pool and/or add filter conditions,
Choose candidate segments or define custom criteria for recruitment,
Choose candidates and configure sending strategy,
Choose candidates and configure targeting strategy,
Choose editor,
Choose from published landing pages,
Choose how you want to create your campaign,
Choose landing page and configure call-to-action,
Choose specific time to send campaign,
Choose specific time to start campaign,
Choose the first message type for the sequence,
Choose the interaction method you want to use with the candidate (only one type can be selected),
Choose the tag that will be added to talent,
Choose the tag that will be removed from talent,
Choose when this automation should activate,
Choose which account will send this message,
Choose which field to remove from talent profile,
Choose which field to update in talent profile,
"Chuỗi JSON của mảng kỹ năng bắt buộc (ví dụ: [""Java"", ""Spring Boot""])",
Chuỗi JSON của mảng kỹ năng ứng viên.,
"Chuỗi JSON của mảng địa điểm làm việc (ví dụ: [""Hanoi"", ""Remote""])",
Chúng tôi đang tuyển dụng vị trí {{job_title}}. Ứng tuyển ngay!,
Chưa bao giờ,
Chưa có message template nào được tìm thấy.,
Chưa có template,
Chỉnh sửa,
Chỉnh sửa Job Opening,
Chỉnh sửa hành động,
"Chọn loại nguồn: ATS, JobBoard, SocialNetwork, Manual hoặc Other","Chọn Loại Nguồn: ATS, Bảng công việc, SocialNetwork, HOUSUAL HOặC Khác"
Chọn thẻ gắn vào ứng viên,
Chờ duyệt,
Chủ sở hữu,
Chức năng xem template sẽ được triển khai,
City,
City/Address,
Classification,
Clear,Thông thoáng
Clear All,Rõ ràng tất cả
Clear Assignment,Phân công rõ ràng
Clear Filters,Bộ lọc rõ ràng
Clear Pool,
Clear Search,
Clear Sort,Xóa loại
Clear all Filter,Xóa tất cả các bộ lọc
Clear filters,
Click,
"Click ""Add Action"" to get started",
"Click ""Add Channel"" to start creating content templates",
"Click ""Add Channel"" to start posting",
"Click ""Add QR Code"" to create one",
"Click ""Add Trigger"" to get started",
Click 'Add Additional Action' to get started,
Click 'Add Message' to create your first nurturing message,
Click 'Add Message' to create your first nurturing message template,
Click 'Edit' or the delay badge on the left to change timing,
Click Rate,Nhấp chuột
Click Rate (CTR),
Click count,
Click insert to insert talent fields,
Click to add content,
Click to download,Bấm để tải xuống
Click to edit delay,
Click to generate QR code,
Click to open email template editor,
Click to set start time,
Click to upload,
Click to upload Resume,
Click to upload favicon,
Click to upload image,
Click to upload image or video,
Click to upload logo,
Click to upload or drag and drop,Bấm để tải lên hoặc kéo và thả
Clicked,
Clicks,
Client ID,ID máy khách
"Client ID (OAuth2), lấy từ Developer Portal của nhà cung cấp","ID khách hàng (OAuth2), nhà phát triển LấY Từ Cổng thông tin CủA NHÀ CUNG CấP"
Client ID Require,
Client ID is required for OAuth2,ID máy khách được yêu cầu cho OAuth2
Client Secret,Bí mật của khách hàng
"Client Secret (OAuth2), lấy từ Developer Portal của nhà cung cấp","Bí mật khách hàng (OAuth2), nhà phát triển Lấy Từ Cổng thông tin CủA NHÀ CUNG CấP"
Client Secret Require,
Client Secret is required for OAuth2,Bí mật của khách hàng được yêu cầu cho OAuth2
Close,Đóng
Close Settings,
Closing Date,
Code,
Cold,
Collapse,Thu gọn
Collapsible,Có thể sụp đổ
Color,
Column,Cột
Column Field,Trường cột
Columns,Cột
Coming soon,
"Comma-separated list of skills (e.g. Python, SQL, Communication)",
Comma-separated tags,
Comment,Bình luận
Comments,
Comments Monitoring,
Communication,
Company,
Company Career Page,
Company Founded Year,
Company Headquarters,
Company Industry,
Company Info,
Company Information,
Company Logo,
Company Mission,
Company Name,
Company Overview,
Company Short Description,
Company Size,
Company Slogan,
Company Vision,
Company Website,
Company information loaded successfully,
Complete,Hoàn thành
Complete 2 simple steps to,
Completed,Hoàn thành
Completed At,
Compose Email,Biên soạn email
Compose your email content here...,
Condition,
Condition Filter,
Condition Preview,
Conditional,
Conditional Split,
Conditions,
Conditions JSON copied to clipboard,
Conditions are invalid or incomplete,
Config,Cấu hình
Config Trigger,
Config trigger to activate flow,
Configuration,Cấu hình
Configuration Examples:,Ví dụ cấu hình:
Configuration JSON,
Configuration Type,
Configuration added successfully,
Configuration deleted successfully,
Configuration for this action type will be available soon.,
Configuration updated successfully,
Configuration:,Cấu hình:
Configure,
Configure Steps,
Configure how bookings sync with your calendar system,
Configure how data should be imported,
"Configure schedule, triggers and automated actions for your campaign",
Configure the sequence of actions for this campaign template,Định cấu hình chuỗi hành động cho mẫu chiến dịch này
Configure triggers and automated actions for recruitment campaign,
Configure triggers and automated actions for talent nurturing,
Configure webhook URL for receiving notifications,
Configured,Cấu hình
Confirm,Xác nhận
Confirm Delete,Xác nhận xóa
Confirm Deletion,
Confirm Disconnection,
Confirm Email,
Confirm Password,Xác nhận mật khẩu
Confirm Selection,
Congratulations! You have completed all tasks.,Chúc mừng! Bạn đã hoàn thành tất cả các nhiệm vụ.
Connect,
Connect ATS,
Connect Cal.com Scheduling,
Connect Facebook,
Connect Facebook Pages and Personal Profiles,
Connect LinkedIn,
Connect MobiWork Applicant Tracking System,
Connect Now,
Connect TOPCV,
Connect TopCV,
Connect TopCV Job Portal,
Connect Zalo OA,
Connect Zalo Official Accounts,
Connect and sync with calendars,
Connect successfully,
Connect to,
Connect to this platform to see available pages and accounts.,
Connect your Facebook account to manage pages and posts,
Connect your TopCV account to manage job postings,
Connected,
Connected Account,
Connected Accounts,
Connected Accounts:,
Connected By,
Connected Pages/Accounts,
Connected Platforms,
Connected via SocialHub,
Connection,
Connection Failed,
Connection ID,
Connection Information,
Connection Notes,
Connection Settings,
Connection Statistics,
Connection Status,Trạng thái kết nối
Connection Timeout (seconds),
Connection Title,
Connection created successfully,
Connection not found,
Connection refreshed successfully,
Connection retry initiated successfully,
Connection retry is only available for failed connections,
Connection test failed,
Connection test successful! Facebook OAuth is configured properly.,
Connection test successful! TopCV API is configured properly.,
Connection timeout (seconds),
Connection title is required,
Connection updated successfully,
Connection will be established through secure OAuth flow,
Connections refreshed,
Connectors,
Contact,
Contact Email,
Contact Email(ENC),
Contact Email(Hash),
Contact Filters,
Contact Info,
Contact Information,Thông tin liên hệ
Contact Phone,
Contact Phone(ENC),
Contact Phone(Hash),
Contact Us,Liên hệ với chúng tôi
Contact email,
Contact person,
Contact phone,
Contact source,
Contact system administrator for OAuth configuration,
Contacted,
Contacts,
Contains,
Content,Nội dung
Content & Channels,
Content - Optional,
Content Category,
Content Design,
Content Presentation,
Content Preview:,Xem trước nội dung:
Content Templates,
Content Type,
Content Type:,
Content added,
Content applied successfully!,
Content reloaded successfully,Nội dung được tải lại thành công
Content saved successfully,Nội dung được lưu thành công
"Content template for emails, SMS, or other actions","Mẫu nội dung cho email, SMS hoặc các hành động khác"
Continue,Tiếp tục
Conversion By Channel,
Conversion count,
Convert,Chuyển thành
Convert to Deal,Chuyển đổi sang giao dịch
Converted (SQL),
Converted successfully,Chuyển đổi thành công
Converted to ATS,
Copied!,
Copy,
Copy JSON,
Copy Link,
Copy URL,
Copy step,Sao chép bước
Copy the credentials and paste them in the form below,
Copy {0} social content(s),
"Could not load template fields, using defaults",
Create,Tạo nên
Create & Generate,
Create Campaign,Tạo chiến dịch
Create Campaign Template,Tạo mẫu chiến dịch
Create Candidate,
Create Connection,
Create Content,Tạo nội dung
Create Email Template,
Create Flow,
Create Flow Template,
Create Job Opening,
Create Ladi Page,Tạo trang Ladi
Create Lead,
Create Manually,Tạo thủ công
Create New,Tạo mới
Create New Campaign,Tạo chiến dịch mới
Create New Candidate,
Create New Connection,
Create New Page,
Create New Pool,Thêm tiêu chí
Create New Request,Thêm chiến dịch
Create New Request Job,
Create New Sequence,
Create New Tag,
Create New Template,
Create Page,
Create Pool,Thêm tiêu chí
Create Post,
Create Schedule and Send Email,
Create Sequence,
Create Tag,
Create Talent,
